employee_id,leave_type,leave_type_label,leave_year,entitled_days,carried_over_days,taken_days,pending_days,available_days,carryover_expires_on,as_of_date
EMP-1012,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1013,ANNUAL,Annual leave (PTO),2026,24.0,0.0,4.9,1.0,18.1,2027-03-31,2026-08-01
EMP-1013,SICK,Sick leave,2026,12.0,0.0,6.0,0.0,6.0,,2026-08-01
EMP-1013,WELLBEING,Wellbeing days,2026,2.0,0.0,2.0,0.0,0.0,,2026-08-01
EMP-1013,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1014,ANNUAL,Annual leave (PTO),2026,24.0,2.0,12.8,0.0,13.2,2027-03-31,2026-08-01
EMP-1014,SICK,Sick leave,2026,12.0,0.0,3.0,0.0,9.0,,2026-08-01
EMP-1014,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1014,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1015,ANNUAL,Annual leave (PTO),2026,24.0,2.0,4.2,2.0,19.8,2027-03-31,2026-08-01
EMP-1015,SICK,Sick leave,2026,12.0,0.0,6.0,0.0,6.0,,2026-08-01
EMP-1015,WELLBEING,Wellbeing days,2026,2.0,0.0,2.0,0.0,0.0,,2026-08-01
EMP-1015,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1016,ANNUAL,Annual leave (PTO),2026,24.0,2.0,8.7,5.0,12.3,2027-03-31,2026-08-01
EMP-1016,SICK,Sick leave,2026,12.0,0.0,3.0,0.0,9.0,,2026-08-01
EMP-1016,WELLBEING,Wellbeing days,2026,2.0,0.0,2.0,0.0,0.0,,2026-08-01
EMP-1016,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1017,ANNUAL,Annual leave (PTO),2026,24.0,0.0,14.9,0.0,9.1,2027-03-31,2026-08-01
EMP-1017,SICK,Sick leave,2026,12.0,0.0,5.0,0.0,7.0,,2026-08-01
EMP-1017,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1017,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1018,ANNUAL,Annual leave (PTO),2026,24.0,0.0,18.1,1.0,4.9,2027-03-31,2026-08-01
EMP-1018,SICK,Sick leave,2026,12.0,0.0,4.0,0.0,8.0,,2026-08-01
EMP-1018,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1018,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1019,ANNUAL,Annual leave (PTO),2026,14.4,3.0,10.4,1.2,5.8,2027-03-31,2026-08-01
EMP-1019,SICK,Sick leave,2026,7.2,0.0,6.0,0.0,1.2,,2026-08-01
EMP-1019,WELLBEING,Wellbeing days,2026,1.2,0.0,1.0,0.0,0.2,,2026-08-01
EMP-1019,VOLUNTEER,Volunteering day,2026,0.6,0.0,0.0,0.0,0.6,,2026-08-01
EMP-1020,ANNUAL,Annual leave (PTO),2026,24.0,2.0,5.1,1.0,19.9,2027-03-31,2026-08-01
EMP-1020,SICK,Sick leave,2026,12.0,0.0,3.0,0.0,9.0,,2026-08-01
EMP-1020,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1020,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1021,ANNUAL,Annual leave (PTO),2026,24.0,5.0,6.7,1.0,21.3,2027-03-31,2026-08-01
EMP-1021,SICK,Sick leave,2026,12.0,0.0,4.0,0.0,8.0,,2026-08-01
EMP-1021,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1021,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1022,ANNUAL,Annual leave (PTO),2026,24.0,0.0,17.3,0.0,6.7,2027-03-31,2026-08-01
EMP-1022,SICK,Sick leave,2026,12.0,0.0,6.0,0.0,6.0,,2026-08-01
EMP-1022,WELLBEING,Wellbeing days,2026,2.0,0.0,1.0,0.0,1.0,,2026-08-01
EMP-1022,VOLUNTEER,Volunteering day,2026,1.0,0.0,0.0,0.0,1.0,,2026-08-01
EMP-1023,ANNUAL,Annual leave (PTO),2026,24.0,2.0,8.9,0.0,17.1,2027-03-31,2026-08-01
EMP-1023,SICK,Sick leave,2026,12.0,0.0,0.0,0.0,12.0,,2026-08-01
EMP-1023,WELLBEING,Wellbeing days,2026,2.0,0.0,2.0,0.0,0.0,,2026-08-01
EMP-1023,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
EMP-1024,ANNUAL,Annual leave (PTO),2026,24.0,0.0,4.6,0.0,19.4,2027-03-31,2026-08-01
EMP-1024,SICK,Sick leave,2026,12.0,0.0,6.0,0.0,6.0,,2026-08-01
EMP-1024,WELLBEING,Wellbeing days,2026,2.0,0.0,0.0,0.0,2.0,,2026-08-01
EMP-1024,VOLUNTEER,Volunteering day,2026,1.0,0.0,1.0,0.0,0.0,,2026-08-01
